text,group,sentiment
москва,5422,positive
москва,5422,negative
москва,5422,neutral
королев,8686,positive
москва,5422,neutral
санкт-петербург,2644,neutral
подольск,1384,positive
москва,5422,negative
курчатов,4926,neutral
спб,12993,positive
москва,5422,neutral
силифок,2495,neutral
санкт-петербург,2644,positive
москва,5422,negative
москва,5422,neutral
москва,5422,positive
москва,5422,neutral
новосибирск,4932,neutral
новосибирск,4932,positive
саров💪,13915,negative
волгодонск,6613,neutral
пенза,7267,positive
нововоронеж,1074,neutral
москва,5422,neutral
москва,5422,positive
волгодонск,6613,negative
саров,11006,neutral
глазов,4974,positive
москва,5422,neutral
озерск,5632,neutral
москва,5422,positive
удомля,6123,negative
петрозаводск,4007,neutral
лесна,5593,positive
санкт-петербург,2644,neutral
москва,5422,neutral
нижний новгород,2650,positive
санкт-петербург,2644,negative
"заречный, свердловский область",14450,neutral
москва,5422,positive
саров,11006,neutral
троицк москва,239,neutral
москва,5422,positive
москва,5422,negative
москва,5422,neutral
нижний новгород,2650,positive
нижний новгород,2650,neutral
москва,5422,neutral
нижний новгород,2650,positive
удомля,6123,negative
глазов,4974,neutral
москва,5422,positive
москва,5422,neutral
москва,5422,neutral
москва,5422,positive
москва,5422,negative
полярный заря,16221,neutral
подольск,1384,positive
северск,14866,neutral
полярный заря,16221,neutral
москва,5422,positive
глазов,4974,negative
москва,5422,neutral
москва,5422,positive
нижний новгород,2650,neutral
москва,5422,neutral
сосновый бор,344,positive
екатеринбург,1776,negative
москва,5422,neutral
новосибирск,4932,positive
санкт-петербург,2644,neutral
москва,5422,neutral
москва,5422,positive
москва,5422,negative
нижний новгород,2650,neutral
спб,12993,positive
волгодонск,6613,neutral
москва,5422,neutral
москва,5422,positive
волгодонск,6613,negative
москва,5422,neutral
реутов,12144,positive
волгодонск,6613,neutral
мурманск,16888,neutral
москва,5422,positive
лесна,5593,negative
москва,5422,neutral
санкт-петербург,2644,positive
москва,5422,neutral
москва,5422,neutral
город-герой москва,11764,positive
балаково,11477,negative
москва,5422,neutral
балашиха,11848,positive
полярный заря,16221,neutral
трехгорный,10752,neutral
новосибирск,4932,positive
певек,8401,negative
москва,5422,neutral
москва,5422,positive
москва,5422,neutral
москва,5422,neutral
нововоронеж,1074,positive
москва,5422,negative
москва,5422,neutral
сосновый бор,344,positive
обнинск,1667,neutral
москва,5422,neutral
саров,11006,positive
москва,5422,negative
москва,5422,neutral
москва,5422,positive
москва,5422,neutral
москва,5422,neutral
москва,5422,positive
снежинск,12268,negative
москва,5422,neutral
обнинск,1667,positive
санкт-петербург,2644,neutral
москва,5422,neutral
москва,5422,positive
москва,5422,negative
екатеринбург,1776,neutral
москва,5422,positive
снежинск,12268,neutral
волгодонск,6613,neutral
москва,5422,positive
москва,5422,negative
москва,5422,neutral
москва,5422,positive
единение,3845,neutral
команда,11154,neutral
настойчивость,8230,positive
команда,11154,negative
эффективный позитив,2753,neutral
новый информация,15481,positive
команда,11154,neutral
взаимодействлять,11487,neutral
коммуникация,17100,positive
команда,11154,negative
настойчивость,8230,neutral
стратегия команда знакомство,2896,positive
командный результат,17090,neutral
команда,11154,neutral
знакомство,2477,positive
энергия,2735,negative
позитив,12728,neutral
цель,1097,positive
команда,11154,neutral
взаимодействие,11200,neutral
активность,10271,positive
взаимодействие,11200,negative
вещание,2210,neutral
команда,11154,positive
стикер,10961,neutral
команда,11154,neutral
развитие,11366,positive
стратегия,7927,negative
команда,11154,neutral
взаимодействие,11200,positive
команда,11154,neutral
инсайт,13256,neutral
уверенность,518,positive
стратегия,7927,negative
достижение,3723,neutral
команда,11154,positive
слышать,6902,neutral
слушать,14691,neutral
говорить,3837,positive
коммуникация,17100,negative
работа в команда,8211,neutral
команда,11154,positive
взаимодействие,11200,neutral
взаимодействие,11200,neutral
супер,151,positive
действовать,9623,negative
команда,11154,neutral
команда,11154,positive
трансцендентность,7878,neutral
круто,14455,neutral
результат,8864,positive
команда,11154,negative
веселие,9687,neutral
полезно,2756,positive
активно,9400,neutral
интересно,10029,neutral
знакомство,2477,positive
команда,11154,negative
команда,11154,neutral
команда,11154,positive
команда,11154,neutral
команда,11154,neutral
благодарный за опыт!,7524,positive
большой спасибо за знание❤️,2555,negative
быть очень интересный спасибо!,12432,neutral
огромный спасибо,3018,positive
огромный спс за разьяснение!,16453,neutral
спасибо большой!,10633,neutral
спасибо все быть отличный.,2220,positive
спасибо вы супер! все шикарно,4518,negative
спасибо огромный!!!!,11855,neutral
спасибо!! быть очень интересный,6659,positive
более краткий изложение информ,15650,neutral
много практика,15146,neutral
нет возможность все отрабатывать,6028,positive
все быть идеальный! молодец!,8553,negative
все быть круто!,7234,neutral
все ока молодец!,14626,positive
все проходить на высокий уровень!,10569,neutral
организатор большой молодец!!,13073,neutral
организация на отлично!,9717,positive
отличный организация,10438,negative
спасибо за организация!,11293,neutral
спасибо за организация!!!!,7190,positive
программа сокращать,11371,neutral
профессионально!,15661,neutral
расширять. культурный программа,3033,positive
состав участник на высота,2387,negative
увеличивать тайминг на задание,14475,neutral
чтобы про мы не забывать,16332,positive
много,15592,neutral
хороший погода!,14799,neutral
масштаб,7906,positive
цель,1097,negative
направление развитие,12088,neutral
новый идея,15932,positive
прорыв,15387,neutral
единый понимание,7144,neutral
передовой опыт,4480,positive
задача,9867,negative
развитие,11366,neutral
понимание,5964,positive
конкретика,887,neutral
дорожный карта,2165,neutral
информация,6579,positive
понимать как реализовать,13077,negative
прорыв,15387,neutral
задача на 3 год,16388,positive
узнавать об успешный проект,16767,neutral
feedback,3430,neutral
продуктивный дискуссия,12939,positive
информация,6579,negative
конструктивный диалог,144,neutral
определять вектор развитие,16586,positive
драйвер проект от бизнес,17285,neutral
целеполагание,1098,neutral
ответ,5724,positive
результат,8864,negative
четкий план действие,12577,neutral
взаимопонимание,2520,positive
протокол с поручение,5463,neutral
понимание цель,3719,neutral
эффект,13924,positive
цель в область цифра,1480,negative
задача,9867,neutral
стратегия по цифровизация,13955,positive
вовлеченность в цифра,7197,neutral
новый знание,4381,neutral
связь цифра с бизнес,9966,positive
цифра в дивизион,890,negative
16995,3655,neutral
конкретизация задача,8344,positive
бескомпромиссность,5933,neutral
вдрхновлять,9300,neutral
мотивировать,16290,positive
мотивировать работник,13651,negative
вести за себя,16019,neutral
влиять раскрывать потенциал,5273,positive
развивать,6451,neutral
вовлекать,8087,neutral
использовать передовой метод,2247,positive
лидер брать на себя ответственный,11822,negative
ответственность,1576,neutral
мой непосредственный руководить.,7178,positive
наблюдать и управлять,15681,neutral
управлять,17042,neutral
наставлять,8426,positive
нацеливать на результат,1731,negative
неравнодушие,423,neutral
подавать пример,15325,positive
показывать личный пример,9539,neutral
пример,2902,neutral
являться пример,883,positive
помогать,10233,negative
поощрять другой,12831,neutral
проактивность,4035,positive
продвигать идея,51,neutral
профессионализм,15617,neutral
разрабатывать ценность,15818,positive
руководитель отдел,12826,negative
создавать творческий атмосфера,4274,neutral
стремиться сам,739,positive
человек делать правильно пра,57,neutral
вино,11148,neutral
все получаться!,10199,positive
успешный успех,10761,negative
эффективно,16877,neutral
драйв,15343,positive
напряжение,10809,neutral
напряженный,17106,neutral
не быть такой,5548,positive
не мытье так катание,15321,negative
недоумение,14139,neutral
партнерство,15418,positive
плодотворный,7205,neutral
работа на вино-вино,8933,neutral
раздражение и усталость,13690,positive
раздражительность,4459,negative
раскалывать структура,2487,neutral
странный оценка,2416,positive
уверенность,518,neutral
удивление,13258,neutral
удовлетворение,8239,positive
удовлетворение и усталость,14627,negative
удовлетворительный,1812,neutral
упрямось терпение настойчивост,6306,positive
упрямый заказчик,3880,neutral
усталость,9277,neutral
хороший,12231,positive
я играть на они мебель,1267,negative
город росатома,12414,neutral
перспектива и возможность,17309,positive
будущее атомный энергетика,2034,neutral
"о дальнейший судьба росатома, о направление его развитие. проект аэс в россия. тяжело ли быть студент без опыт работа попадать на работа на аэс? если балл быть низкий 4.2 (а именно такой балл и высоко для поступление на работа выставлять почти на все аэс), но обучение на специальность проходить, как далеко быть? дверь на аэс закрывать?",803,neutral
"как к вы попадать то, кто за 35?",5022,positive
атомный жизнь,16334,negative
наука,1813,neutral
о работа в росатый,2192,positive
текущий проект и перспектива росатома,7215,neutral
кейс,5128,neutral
строительство,9402,positive
о марафон atomprofi),14300,negative
работа в росатома,16727,neutral
очистка редкоземельный элемент,11007,positive
росат через 30 год,15632,neutral
квантовый компьютер,5267,neutral
в какой стадия сейчас строительство аэс в бангладеш? сколько время еще быть длиться строительство 1 блок?,637,positive
новый продукт,9342,negative
как попадать в росатый,16991,neutral
как получать приглашение на собеседование и работа,7849,positive
о марафон атомпрофи и айтябрь!,5302,neutral
влияние на смстема,11961,neutral
возможность улучшать что то,14801,positive
улучшение процесс ппу,2706,negative
это улучшение,3544,neutral
быть решение,15882,positive
конкретный решение,830,neutral
оно предлагать решение проблема,3566,neutral
ппу содержать решение,6877,positive
ппу это решение,11541,negative
решение,8942,neutral
решение проблема,397,positive
этот решение проблема,2482,neutral
малозатратный,15245,neutral
это мочь быть экономия,17335,positive
ппу не всегда проблема,11504,negative
форма подача,12804,neutral
экология,7071,positive
атомный 🔥🔥🔥🔥🔥,5868,neutral
волшебный,4388,neutral
замечательный,13494,positive
отлично,947,negative
отличный,12777,neutral
отличный настроение,4102,positive
отличный!,6641,neutral
отличный-рабочий,9407,neutral
позитив,12728,positive
позитивный,10488,negative
светлый,17078,neutral
супер,151,positive
супер!,2751,neutral
чудесный,13330,neutral
шикарный,15392,positive
бодрый,14775,negative
бодрый 🔥🤟🔥,10519,neutral
бодрый!,4432,positive
боевой,798,neutral
боевой),305,neutral
загадочный ) бодрый,17375,positive
бывать хорошо,16328,negative
волнительный,15214,neutral
заинтрегоаанный,7917,positive
предвкушение,9987,neutral
рабочий,14201,neutral
творческий,4675,positive
уважение подчиненный,16868,negative
уверенный,13948,neutral
усталый,1551,positive
хор,15744,neutral
хороший,12231,neutral
й,5927,positive
удивление,13258,negative
удача,1217,neutral
положительный,12610,positive
интерес,14585,neutral
удивление,13258,neutral
радость,2841,positive
неожиданность,5176,negative
почему я просыпаться в 3.00,6737,neutral
удивление,13258,positive
волнение,9579,neutral
радость,2841,neutral
хехей),14138,positive
удивление,13258,negative
спокойствие,11899,neutral
удовольствие,8164,positive
неожиданность,5176,neutral
возможность,11190,neutral
ожидать,8346,positive
радость,2841,negative
ока,3653,neutral
за что?,3675,positive
интерес к тема,3110,neutral
наконец-то,7830,neutral
радость,2841,positive
любопытно,8996,negative
удивление,13258,neutral
довольный,5424,positive
интересно,10029,neutral
радость,2841,neutral
радость,2841,positive
удивление,13258,negative
гордость,11126,neutral
радость,2841,positive
удивление,13258,neutral
удивление,13258,neutral
удивление,13258,positive
ответственность,1576,negative
удивление,13258,neutral
страх,8170,positive
находить время,4949,neutral
дефицит время,11978,neutral
вовлекать коллега из за занятость,12331,positive
собирать коллега,1014,negative
находить время,4949,neutral
срок,11539,positive
договариваться с уч-ками команда,9317,neutral
цейтнот,11505,neutral
находить время,4949,positive
находить время,4949,negative
убеждать команда работать),12578,neutral
выделять время,3385,positive
время,4227,neutral
находить время,4949,neutral
находить время,4949,positive
недостаток время,13328,negative
заставлять себя мыслить творчес,6848,neutral
срок,11539,positive
сохранять баланс,5696,neutral
дефицит время,11978,neutral
находить время для выполнение мара,1049,positive
находить время,4949,negative
соблюдать дедлайн,10044,neutral
замотивировать человек,2593,positive
дедлайн,5620,neutral
находить время в конец год,7464,neutral
нехватка время; срок,13535,positive
интенсивность,16628,negative
находить свободный время,14597,neutral
выделять допы.время,306,positive
находить время,4949,neutral
быть лидер,6791,neutral
мотивировать команда,5177,positive
находить ответ по дело,2918,negative
успевать выполнять,13012,neutral
мотивировать команда,5177,positive
проект,10043,neutral
привлекать коллега,9271,neutral
итоговый проект,13117,positive
удаленный коммуникация,16928,negative
"слушать, как лить много вода",1230,neutral
проект,10043,positive
совмещение учеба и конец год,10912,neutral
реализация проект,15133,neutral
объяснять задание,14578,positive
укладываться в срок,12667,negative
находить время,4949,neutral
наложение осна. работа и обучать,16612,positive
"удаленка, возможность расти",16336,neutral
участие в классный проект,10705,neutral
"стабильность за, соц.пакет",14454,positive
команда hr и ита,17476,negative
причастность к щит родина,13242,neutral
разнообразие задача,9990,positive
энергия,2735,neutral
команда,11154,neutral
"интересный, амбициозный задача",7962,positive
передовой опыт,4480,negative
много интересный задача,696,neutral
команда,11154,positive
развитие,11366,neutral
руководство,13480,neutral
человек,12493,positive
возможность,11190,negative
га-часть атомный отрасль,7392,neutral
вечный движение,8407,positive
коллектив,3168,neutral
удаленка,7299,neutral
команда,11154,positive
"важность функция,",2675,negative
уважение,9684,neutral
любить свой работа и коллега,10131,positive
разговаривать на эйчарный,941,neutral
начальник :),12303,neutral
возможность быть услышать,3497,positive
масштаб задача,6993,negative
крутой команда,5236,neutral
план до 2025 год)),6512,positive
реализация страта.задача страна,7490,neutral
руководитель,4320,neutral
стабильность,6572,positive
коллега,4615,negative
возможность работать удаленный,15503,neutral
всегда интересно,2939,positive
общение с человек,8659,neutral
охват весь отрасль,12107,neutral
стабильность,6572,positive
адекватный коллектив,1012,negative
опыт работа в госкорпорация,17307,neutral
разнообразие возможность,6894,positive
принадлежность к отрасль,6771,neutral
отрасль - локомотив раз-тий рф,6994,neutral
стабильность,6572,positive
развитие личность,4694,negative
развитие профессиональный,13677,neutral
общение с хороший человек,7763,positive
интересный работа,6158,neutral
развитие,11366,neutral
"масштаб , стратегия, отрасль",7278,positive
сложность. это вызов для я,15078,negative
хаос. возможность наводить пороть,7544,neutral
трамплин для развитие карьера,16638,positive
"стабильность, динамика, задача",697,neutral
движение,15029,neutral
развитие,11366,positive
человек,12493,negative
стабильность,6572,neutral
команда,11154,positive
удовлетворенность от задача,3927,neutral
признание,16770,neutral
амбициозный задача,13029,positive
задача,9867,negative
сложность,8789,neutral
возможность,11190,positive
командообразование,6236,neutral
"интересный проект, задача",16515,neutral
быть часть росатома,5366,positive
команда,11154,negative
задача,9867,neutral
руководитель,4320,positive
человек,12493,neutral
участие в классный проект,10705,neutral
"человек, возможность",16085,positive
результат сложный задача,1708,negative
направление ита,15415,neutral
многофункциональность,1547,positive
команда,11154,neutral
новый технология,14595,neutral
защищенность,6604,positive
обратный связь коллега,11534,negative
положительный эмоция человек,10355,neutral
вызов и масштаб,4303,positive
стабильность,6572,neutral
коллектив,3168,neutral
работа с человек,8284,positive
команда,11154,negative
atomskills,882,neutral
атомскиллс,2409,positive
it core,11173,neutral
it-core,6518,neutral
it марафон от ростатома,8465,positive
ита-марафон,11090,negative
вот сегодня посещать. пока ярко,2414,neutral
вы яркий солнышко,5264,positive
сегодня,14337,neutral
впервые в жизнь,8175,neutral
время карьера,11887,positive
данный событие,8295,negative
да,2578,neutral
день samsung в рот мирэа,17319,positive
день карьера,8408,neutral
день открытый дверь в мирэа,10681,neutral
день росатома в рот мирэа,12526,positive
день сибинтек в рот мирэа,1529,negative
день карьера в тпу,16069,neutral
здесь первый раз,15250,positive
это,1539,neutral
карьерный гостиная breakpoint,5364,neutral
конференция,9026,positive
метавселенная ирит-ртф,10332,negative
не помнить,8827,neutral
неделя vk в рот мирэа,13970,positive
неделя крок в рот мирэа,15134,neutral
ни какой,14846,neutral
никакой,1359,positive
оффер дей гринат,17230,negative
росатый,17448,neutral
студенческий цех,1760,positive
трудоустройство в росатый,13923,neutral
трудоустройство),14379,neutral
фестиваль brainfest,14254,positive
фестиваль breanfest,5786,negative
школа комсостав ссо росатома,4531,neutral
ярмарка вакансия росатома,659,positive
ярмарка карьер от ннгу,12980,neutral
< время на осна. деятельность,275,neutral
абсолютный занятость,509,positive
загруженность,8888,negative
загруженность персонал имеющий,2757,neutral
загрузка,7486,positive
загрузка производство,11257,neutral
"отсутствие ""свободный"" человек",8995,neutral
перегруженность сотрудник,38,positive
перегруженность текущий работо,9667,negative
текущий загрузка,9913,neutral
текущий работа,14401,positive
административный барьер,10977,neutral
бизнес-процесс,16012,neutral
процесс,12460,positive
боязнь весь новый,17382,negative
бюрократизация,12904,neutral
бюрократия,12380,positive
излишний бюрократич,16683,neutral
война,13420,neutral
время,4227,positive
готовый поодукт,21,negative
длительность процедура,6037,neutral
медленный процесс,12057,positive
доступ к инвестиция. кадр.,9378,neutral
инвестресурс,5597,neutral
желание,8620,positive
инертность,13078,negative
компетенция,13186,neutral
некомпетентность,13260,positive
нет соответствующий навык,9976,neutral
отсутствие компетенция,5367,neutral
конкуренция,5472,positive
инерция мышление,1736,negative
консерватизм,3888,neutral
консерватизм кооперация,1712,positive
консерватизм руководитель,13569,neutral
лень,4716,neutral
человек,12493,positive
нехватка персонал,10412,negative
маркетинг,13670,neutral
маркетинговый исследование,13121,positive
низкий маркетинг,13596,neutral
отсутствие маркетинг,5479,neutral
мотивация,2577,positive
наличие старый бизнес,16984,negative
наличие таковой,16766,neutral
не желание рисковать и отвечить,5,positive
риск неудача,15264,neutral
риск,2406,neutral
не конкурентоспособность,5394,positive
неготовность продукт,4448,negative
нежелание изменение,3600,neutral
нежелание меняться,11274,positive
отсутствие желание,7995,neutral
отсутствие мотивация,7964,neutral
незаинтересованность,2442,positive
непонимание необходимость,11483,negative
непонимание потребность,5621,neutral
отсутсвие понимание,7237,positive
нет акселератор,15766,neutral
нет взаимодействие с иннохаб,15005,neutral
нет ключевой специалист,2076,positive
нет программа упра. проект,13408,negative
неточный целепологание,11696,neutral
объем текущий работа,12322,positive
ограничение производство,14652,neutral
окупаемость,9590,neutral
основной работа,7137,positive
"отсутсвие технология, ресурс",13500,negative
отсутствие взаимовыручка,16720,neutral
отсутствие идея,17170,positive
отсутствие перспективный идея,2493,neutral
отсутствие конкретика,14963,neutral
отсутствие поддержка руководст,15130,positive
отсутствие экосистема,17168,negative
плохой план: от идея до запуск,1413,neutral
поиск правильный идея,14336,positive
правильный оценка спрос,6411,neutral
размытый ответственность,6497,neutral
регламент,248,positive
ресурс,8690,negative
рутина,619,neutral
санкция иностранный государство,12696,positive
создавать база новый идея,3404,neutral
спрос,13879,neutral
срок контрактация,8054,positive
технология,13876,negative
узость рынок,476,neutral
атомный компания,12264,positive
атомный корпорация,16163,neutral
ну компания по атомный энерги,7282,neutral
атомный отрасль,4420,positive
атомный отрсль,9305,negative
все добро!,14556,neutral
всероссийский корпорация,4915,positive
госкорпорация,3039,neutral
государственный компания,12774,neutral
государственный корпорация,10894,positive
рф государственный холдинг,7115,negative
группа который делать проект,8018,neutral
здорово,179,positive
интересно,10029,neutral
круто,14455,neutral
компания,1064,positive
компания мечта,5821,negative
корпорация возможность,8288,neutral
крупный компания,5692,positive
многопрофильный компания,2148,neutral
многопрофильный организация,8766,neutral
наука,1813,positive
не знать,4653,negative
хз,7774,neutral
что-то что я еще не знать,4457,positive
прогресс в усолье,9836,neutral
продвижение в будущее,9531,neutral
ролтон,11349,positive
росатый,17448,negative
relationship,9547,neutral
блат,12367,positive
взаимный выгода,12221,neutral
взаимодействие,11200,neutral
коммуникация,17100,positive
коммуникация,17100,negative
общение,5799,neutral
полезный коммуникация,5396,positive
взаимосвязь,5889,neutral
возможность,11190,neutral
знакомство,2477,positive
полезный знакомство,163,negative
полезный контакт,11313,neutral
связь,5294,positive
связь,5294,neutral
инновация,3202,neutral
команда,11154,positive
человек,12493,negative
коммуникационный польза,4277,neutral
организм,14403,positive
познание,12146,neutral
польза,12661,neutral
понимание,5964,positive
продуктивный деятельность,13013,negative
работа,2000,neutral
работа вне,1773,positive
развитие,11366,neutral
рост,2859,neutral
раскрытие личность,12959,positive
расчет,3408,negative
решать,4686,neutral
сеть,8837,positive
синергия,16735,neutral
социальный сеть,3287,neutral
успех,16935,positive
человек и город,8630,negative
дебюрократизация,14435,neutral
дебюрократизация,14435,positive
человек город,15382,neutral
дебюрократизация,14435,neutral
человек и город,8630,positive
клиентоцентричность,1370,negative
особый внимание клиент и пар,15748,neutral
дебюрократизация,14435,positive
дебюрократизация,14435,neutral
1,4334,neutral
1,4334,positive
1,4334,negative
1,4334,neutral
1,4334,positive
дебюрократизация,14435,neutral
программа снижение бюрократия,13440,neutral
кадровый обеспечение новый биз,14101,positive
8,16698,negative
дебюрократизация,14435,neutral
снижение бюрократия,14696,positive
клиентоценричность,15983,neutral
дебюрократизация,14435,neutral
дебюрократизация,14435,positive
дебюрократизация,14435,negative
дебюрократизация,14435,neutral
дебюрократизация,14435,positive
снижение бюрократия,14696,neutral
дебюрократизация,14435,neutral
финансы,6209,positive
клиентоцентричность,1370,negative
"1, 8, 2",11251,neutral
человек и город,8630,positive
бюрократия,12380,neutral
8.7.9,17014,neutral
9,9427,positive
кадровый обеспечение,8255,negative
дебюрократизация,14435,neutral
бюрократия,12380,positive
международный бизнесс,15833,neutral
привлечение молодежь в наука,7080,neutral
дебюрократизация,14435,positive
человек и город,8630,negative
дебюрократизация,14435,neutral
человек и город,8630,positive
дебюрократизация,14435,neutral
дебюрократизация,14435,neutral
бюрократия,12380,positive
дебюрократизация,14435,negative
человек и город,8630,neutral
дебюрократизация,14435,positive
международный кадровый резерв,17129,neutral
8,16698,neutral
дебюрократизация,14435,positive
человек и город,8630,negative
8,16698,neutral
9,9427,positive
бюрократия,12380,neutral
дебюрокротизация,6642,neutral
кадровый обеспечение,8255,positive
побеждать бюрократия,5923,negative
дебюрократизация,14435,neutral
8,16698,positive
клиентоцентричность,1370,neutral
1,4334,neutral
"дебюро,  человек и город",9441,positive
9,9427,negative
дебюрократизация,14435,neutral
7,5098,positive
бюрократия,12380,neutral
8,16698,neutral
9,9427,positive
8,16698,negative
кадровый обеспечение,8255,neutral
программа человек и город,7753,positive
9,9427,neutral
8,16698,neutral
8,16698,positive
человек и город,8630,negative
санкция,2984,neutral
вовлеченность персонал,10660,positive
быть полезный,11143,neutral
20633,5170,neutral
локдаун,8127,positive
установка программа,8962,negative
хороший момент,3921,neutral
смена квалификация,7344,positive
переработка,13786,neutral
очень много работа,108,neutral
большой количество задача,15313,positive
аврора,2333,negative
напряжение,10809,neutral
ковид,15277,positive
переработка,13786,neutral
интересный проект,8392,neutral
удаленка,7299,positive
куча работа,7049,negative
много работа,4960,neutral
неработающий впн,11165,positive
удаленка,7299,neutral
очень много работа,108,neutral
опять удаленка,13205,positive
много работа,4960,negative
очень много работа,108,neutral
деньги,5847,positive
информированность персонал,5447,neutral
кнут и пряник,6866,neutral
поощрение,11871,positive
премирование,4476,negative
эффективный система мотивация,6095,neutral
корп.отдых,4031,positive
лидерство его руководитель,4540,neutral
лидерство руководитель,3445,neutral
личный работа руководитель,11258,positive
личный осознание процесс,16904,negative
повышение осознанность,8342,neutral
личный качество работник,1433,positive
обратный связь от руководство,13673,neutral
обстановка открытость,6113,neutral
осознание ответственность,2953,positive
приверженность безопасность,4204,negative
работа лидер,14142,neutral
совокупность ответственность и,4384,positive
угроза закрытие бизнес,5737,neutral
участие в процесс руководител,14868,neutral
участие в фин. результат,2866,positive
апатия,15686,negative
благодарность,13469,neutral
более проинформированный,16575,positive
информированность,12594,neutral
становиться много информация,14302,neutral
волнение усиливаться,5473,positive
очень тревожный,5153,negative
все такой же,6991,neutral
не изменяться,4187,positive
не поменяться,2214,neutral
никак,8417,neutral
однообразие,7842,positive
прежний,10646,negative
заболевать,6294,neutral
заземление,8442,positive
реальность,6464,neutral
значительно,962,neutral
качели,13471,positive
колебательный,10649,negative
нагрузка,16384,neutral
ожидание,13362,positive
повседневность,1729,neutral
пойти,13160,neutral
понимание,5964,positive
приходить понимание что делать,11117,negative
принятие,13649,neutral
смирение,12699,positive
приходить в стабильность,1126,neutral
равновесие,9971,neutral
разрешаться,15145,positive
стабилизироваться,1234,negative
стабильно,3685,neutral
стабильность,6572,positive
становиться легко однозначно,17372,neutral
становиться мало паника,12625,neutral
улучшаться,13416,positive
успокоение,3903,negative
успокаиваться,9602,neutral
устрйчиво,13229,positive
чуть-чуть становиться хорошо,10923,neutral
я взять себя в рука,2138,neutral
собранность,4597,positive
становиться более уверять,3870,negative
уверенность,518,neutral
стресс,17482,positive
тревожность,10801,neutral
трансформирование,14646,neutral
уныние,10819,positive
ухудшаться,10498,negative
плохо,7303,neutral
шок,16410,positive
ясность,5409,neutral
обновление рабочий процесс,10796,neutral
трудоустройство в гринат,3542,positive
индексация оклад в гринат?,11102,negative
новый перспектива,8434,neutral
план,12896,positive
погода в москва,1416,neutral
книжка,3964,neutral
успех в экономика рф,11211,positive
успех в импортозамещение в рф,8045,negative
индексация зп,10350,neutral
индексация,7448,positive
теплый погода,14085,neutral
трудоустройство в гринат,3542,neutral
суммарный прибавка к зп,9664,positive
индексация оклад,7552,negative
командный дух,1168,neutral
погода,5221,positive
индексация оклад,7552,neutral
сюрприз на день рождение,13824,neutral
встреча с коллега,654,positive
незнать,13183,negative
индексация,7448,neutral
индексация,7448,positive
индексация,7448,neutral
новый знакомство,16672,neutral
даже не знать,16002,positive
отзыв по ор,9642,negative
nextcloud,17107,neutral
внимание коллега,13037,positive
гринфест,7072,neutral
интеграция система,10363,neutral
жаркий лето,201,positive
возмы-сть смена роль в команда,1938,negative
работа,2000,neutral
летний погода,8806,positive
повышение оклад,15135,neutral
новый задача,8706,neutral
работа,2000,positive
ничего,16305,negative
погода,5221,neutral
индексация,7448,positive
урожай,4714,neutral
замечательный команда,3197,neutral
объем работа,3230,positive
ослабление жара,9843,negative
зарплата,2856,neutral
индексация),9718,positive
ставка по ипотека,13491,neutral
индексация зп,10350,neutral
концерт,2377,positive
х5,1080,negative
не быть неприятный сюрприз,15482,neutral
жаркий лето,201,positive
погода,5221,neutral
повышение зп,8982,neutral
переход на новый должность,6325,positive
встреча с команда,17373,negative
погода,5221,neutral
урожай,4714,positive
ничто не удивляться,4665,neutral
жаркий и долгий лето,9732,neutral
взять администратор проект,8803,positive
погода,5221,negative
контракт с x5,13546,neutral
дешевый авто из европа,9164,positive
отпуск,3327,neutral
окончание жара,6957,neutral
заплата,14503,positive
ничего,16305,negative
хороший погода,12218,neutral
безопасность,1616,positive
бесконечный аудит,9545,neutral
куча проверка,1686,neutral
много проверка,4590,positive
больший объем за тот же время,8973,negative
большой объем работа,964,neutral
увеличение объем работа,10740,positive
большой количество приказ,3174,neutral
большой предприятие,9070,neutral
борократия,14656,positive
бюрокатия,4032,negative
бюрократизация процесс,16915,neutral
бюрократия,12380,positive
бюрократия в голова - страх,11047,neutral
бюрократия медленно работать,13449,neutral
заволокичивание процесс,87,positive
высокий загрузка,3368,negative
высокий руководство не слушать,3947,neutral
дефицит,15225,positive
дефицит инженерный кадры,7460,neutral
дефицит кадры,15259,neutral
дефицит линейный руководитель,863,positive
кадровый голодание,15786,negative
кадровый голод,9224,neutral
количество персонал и ремонт,4569,positive
не хватать человек,16005,neutral
недостаток кадры,7189,neutral
нехватка персонал,10412,positive
нехватка персонал с гоз,4778,negative
низкий численность персонал,774,neutral
дистанция с руководство,4234,positive
еосз,10218,neutral
зависимость от иностранный по,1383,neutral
импортозамещение,2906,positive
импортозамещение оборудование,3356,negative
задержка обеспечение материал,11922,neutral
закупка материал,11553,positive
закупка материал для работа,828,neutral
закупка,4523,neutral
закупка и военный приемка,5896,positive
организация закупка,10992,negative
проблема с закупка,15040,neutral
заработный плата сотрудник,14168,positive
